model,experiment,region_name,horizon,n,MAE,RMSE,MASE,sMAPE,modell
timesfm_univ,A_univariat,Södermanlands län,3,45.0,129.25932379828558,169.40934353269816,0.8191514612351074,29.552692927167556,TimesFM A (univariat)
timesfm_univ,A_univariat,Södermanlands län,6,42.0,166.62075660342262,207.97565233811733,1.0559210139207234,37.00486643063925,TimesFM A (univariat)
timesfm_univ,A_univariat,Södra Norrland,1,47.0,1117.798651512633,1696.2849787259804,0.8649233934038444,18.497930470465633,TimesFM A (univariat)
timesfm_univ,A_univariat,Södra Norrland,3,45.0,1552.3146104600694,2113.0240394928633,1.2011404904564928,25.808117799364265,TimesFM A (univariat)
timesfm_univ,A_univariat,Södra Norrland,6,42.0,1516.5712018694196,2056.2167851385666,1.1734831747062817,25.0585819694468,TimesFM A (univariat)
timesfm_univ,A_univariat,Uppsala län,1,47.0,118.6229319470994,154.79976615772776,0.7407655572479747,20.032412545350613,TimesFM A (univariat)
timesfm_univ,A_univariat,Uppsala län,3,45.0,137.4650410970052,172.72958859028392,0.8584290246320181,23.41968217427884,TimesFM A (univariat)
timesfm_univ,A_univariat,Uppsala län,6,42.0,143.8197944277809,177.57567484588594,0.8981126027983777,24.824243262980712,TimesFM A (univariat)
timesfm_univ,A_univariat,Värmlands län,1,47.0,211.5356640105552,256.5018732061195,0.6297504420127537,15.182420442710256,TimesFM A (univariat)
timesfm_univ,A_univariat,Värmlands län,3,45.0,245.41815592447918,302.7063900514571,0.7306200252061696,17.75711467557222,TimesFM A (univariat)
timesfm_univ,A_univariat,Värmlands län,6,42.0,267.590340750558,339.6163328875435,0.7966275386905857,19.298011460785343,TimesFM A (univariat)
timesfm_univ,A_univariat,Västerbottens län,1,47.0,627.1873207903923,985.542793868139,0.7480805128163794,22.686975234865173,TimesFM A (univariat)
timesfm_univ,A_univariat,Västerbottens län,3,45.0,688.0049886067708,1053.355985313469,0.8206210611027146,25.775795600083228,TimesFM A (univariat)
timesfm_univ,A_univariat,Västerbottens län,6,42.0,660.3380359468006,972.4115078086091,0.7876211782162842,25.517453618732628,TimesFM A (univariat)
timesfm_univ,A_univariat,Västernorrlands län,1,47.0,385.32762892702794,560.120107518772,0.670906277126089,20.9362519426253,TimesFM A (univariat)
timesfm_univ,A_univariat,Västernorrlands län,3,45.0,440.8733100043403,613.0742113254882,0.7676186416294658,24.02702210039416,TimesFM A (univariat)
timesfm_univ,A_univariat,Västernorrlands län,6,42.0,439.04799107142856,619.0941317174231,0.7644405203687152,23.37721084246237,TimesFM A (univariat)
timesfm_univ,A_univariat,Västmanlands län,1,47.0,68.23837377669963,84.61498117981408,0.3307009872813251,20.546541298846126,TimesFM A (univariat)
